,round,moved_stake,stake_amt
30,2426,1,9.36263031
31,2427,1,9.36263031
28,2428,1,1600.0
29,2442,2,11465.0
32,2444,1,10637.385952970293
27,2447,1,10970.0
25,2452,1,134.9634763882775
26,2456,1,2769.1602884055383
23,2470,1,80.86675425966416
24,2474,1,1.0
5,2476,37,179880.07327061082
14,2477,54,270632.98975599697
2,2478,69,3524941.02596684
3,2479,84,194156.39891086024
13,2480,50,529689.2154018232
19,2481,39,7469.0778643147205
16,2482,52,459323.4662232727
9,2483,38,23766.188932517136
0,2484,27,489210.03067281103
8,2485,30,363362.3540799512
22,2486,9,2703.876960186904
21,2487,20,23047.1236186918
11,2488,34,912116.9895854641
20,2489,14,8621.187185682113
15,2490,14,10358.462417662417
1,2491,27,3864.7218054130904
7,2492,13,4466.797805042388
18,2493,16,35513.72601429599
12,2494,12,10547.42736323235
6,2495,7,1807.0291874523564
4,2496,17,3780.797836178887
17,2497,10,1207.444089057079
10,2498,12,61334.181960840644
